Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species
5,1,2,3,7,6.3,2.9,1.6,90,61
5,1,3,1,9,5.6,2.7,1.4,18,
5,2,1,5,8,9,3.8,1.4,61,18
5,2,2,3,6,3.7,2.2,2,61,
5,2,3,2,8,4.2,2.1,1.4,61,
5,2,4,5,5,4.2,0.9,0.6,18,61
5,3,1,3,9,5.6,4.2,3.1,18,
5,5,1,3,6,3.1,1.7,0.8,102,45
5,5,3,1,6,6.5,0.7,0.4,71,
5,5,4,3,8,6.1,5.1,3.9,18,
5,5,2,4,9,8,3.7,3.1,55,18
5,5,3,4,10,7,4.3,3.1,52,18
5,5,4,9,8,7.6,2.3,1.6,18,61; 66
5,8,1,2,10,7.4,5.6,3.6,55,
5,8,4,7,10,4.7,2.9,1.6,90,61; 18
5,9,1,2,7,8,4.2,2.6,81,90
5,9,2,2,9,4,3.4,1.4,85,
5,9,4,11,7.6,9.6,2.4,1.4,18,61; 1; 111
5,10,1,1,6,3.2,0.8,0.4,61,
5,10,2,1,10,4.7,3.3,3,61,
6,1,1,3,6,4.6,1.1,0.8,8,111
6,1,2,3,10,3.4,3.2,2.4,111,
6,1,3,4,9,7.2,2.4,1.3,61,111
6,1,4,4,4,4.2,1.2,1.1,39,85
6,2,1,1,4.8,5.2,1.1,0.8,18,
6,2,2,4,6,6.8,1,0.6,18,111
6,2,3,2,10,8.6,2.3,0.8,18,
6,2,4,12,9,7,0.9,0.7,81,100; 52; 18
6,3,1,10,8,7.5,0.8,0.3,10,18; 39; 81
6,3,4,4,6,7,1.7,0.8,84,
6,4,1,1,7,8,2.4,2.6,71,
6,4,4,2,6,3.5,2.5,1.6,18,
6,5,1,2,7,5.6,2.8,1.3,54,
6,5,3,4,5,4.2,2,0.9,71,54
6,6,1,5,7,3.1,3.4,1.1,52,18
6,6,2,4,9,5.4,1.7,1.4,31,85
6,6,3,10,8,6.2,4.6,2.6,18,52
6,7,1,3,7,5,2.6,2.1,61,52
6,7,2,2,4.2,4.5,2.8,2.2,86,61
6,8,1,6,7,6.5,2.8,1.8,61,85; 18; 90
6,8,2,9,9,4.2,2.8,1.6,85,86; 18; 
6,8,3,2,4,3.2,0.8,0.5,18,52
6,8,4,3,9,8,4.3,3.9,84,52; 18
6,9,1,2,6,6.4,1.7,0.4,71,
6,9,2,2,7,4.8,1.4,0.6,71,
6,9,4,10,5,3.5,1.2,0.4,71,
7,1,1,4,9,6.2,2.6,1.6,31,90
7,1,3,6,6,4.2,3.2,1.9,18,
7,1,4,7,8,4.2,2.8,1.1,111,111; 86
7,5,1,3,10,4.4,3.6,1.8,111,54
7,5,2,1,8,7,3.9,2.2,87,
7,5,3,7,10,6,3.1,2.4,71,18; 54
7,5,4,6,8,9,2.8,1.9,87,61
7,5,3,1,9,8,3.2,2.4,81,
7,5,4,5,6,7,3.1,2.4,84,90; 39
7,8,2,2,4.5,3.8,1.6,1,111,
7,8,4,2,8,5,3.2,2.8,45,
7,8,3,1,7,3.8,0.9,0.4,18,
7,8,3,1,9,8,3.2,2.9,18,
7,8,4,5,6,4.8,3.2,1.2,55,71
7,9,1,1,8,10,3.8,3.2,87,
7,9,4,1,4,3.6,2.6,1.2,39,
8,1,1,6,4.5,4.2,2.6,2.1,104,55; 87
8,1,2,4,10,7,2.1,0.6,87,55
8,2,1,4,9,11,4.9,2.8,55,
8,2,2,7,9.5,8,6,3.4,55,55; 87
8,2,3,4,7,11,2.1,1.3,87,71
8,2,4,11,8,7,5.1,3.1,104,87; 61
8,6,1,2,6,4,2.4,0.9,81,66
8,6,2,4,7,6.4,2.3,1.6,85,90; 71
8,6,3,4,6.5,4.5,2.4,0.8,66,90
8,6,4,3,6.2,5,2.1,1.2,66,52
8,7,1,2,5,3.3,1.2,0.8,71,
8,7,2,2,10,5,6.1,4.2,85,71
8,7,3,3,8,7,4.5,2.9,52,104
8,7,4,5,10,11,3.4,2.5,55,85; 87
8,8,1,39,9.4,10,2.6,2.2,87,55
8,8,2,25,8.9,9.4,2.1,1.9,87,55
8,8,3,23,9.2,7,3.1,1.2,87,55; 85
8,8,4,21,8.6,9,3,2,87,
8,8,2,2,4.4,3.8,1.1,0.6,87,
8,8,2,4,5.3,3.6,2.2,1.2,87,
8,11,1,6,10,7,7.5,7.2,71,55; 104; 87
8,11,2,7,9,7.4,2.6,2.2,104,71; 87
8,12,1,6,7,4.2,2.8,1.8,18,66; 52
8,12,3,6,9,5.6,3.7,2.4,52,111; 90
8,12,4,2,5,3.2,3.8,1.9,18,
9,1,1,2,10,6.2,5.5,4.2,18,
9,1,4,5,7,6,3.4,2.1,18,86; 1
9,3,1,11,7,4.5,3.1,1.4,106,25; 98
9,3,2,3,8.2,6,3.8,1.9,106,
9,3,3,11,7.2,5.4,2.4,1.9,98,25; 104
9,3,4,9,6,3.8,2.6,1.8,25,98
9,5,1,3,7,3.6,3.4,2.5,18,
9,5,2,3,5,3.1,2.8,2.1,18,
