Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
3,6,52a,18,11,0,0,,,
3,6,52b,18,13,0,0,,,
3,6,53,84,15,0,0,,,
3,7,1,111,24,1,0,,,
3,7,2,52,53,0,0,,,
3,7,3,81,12,0,0,,,
3,7,4,61,14,0,0,,,
3,7,5,18,12,0,0,,,
3,7,6,86,10,0,0,,,
3,7,7,84,12,0,0,,,
3,7,8,61,12,0,0,,,
3,7,9a,18,12,0,0,,,
3,7,9b,18,12,0,0,,,
3,7,10,61,11,0,0,,,
3,7,11,18,14,0,0,,,
3,7,12,52,22,0,0,,,
3,7,13,111,20,0,1,,,
3,7,14,52,52,0,0,,,
3,7,15,18,22,0,0,,,
3,7,16,61,28,0,0,,,
3,7,17,18,11,0,0,,,
3,7,18a,18,22,0,0,,,
3,7,18b,18,11,0,0,,,
3,7,18c,18,16,0,0,,,
3,7,18d,18,14,0,0,,,
3,7,19,18,16,0,0,,,
3,7,20,18,23,0,0,,,
3,7,21,18,17,0,0,,,
3,7,22,18,28,0,0,,,
3,7,23,61,20,0,0,,,
3,7,24,18,11,0,0,,,
3,7,25,52,17,0,0,,,
3,7,26,61,16,0,0,,,
3,7,27,52,19,0,0,,,
3,7,28,52,55,0,0,,,
3,7,29,111,18,0,0,,,
3,7,30,61,19,0,0,,,
3,7,31,61,23,0,0,,,
3,7,32,52,19,0,0,,,
3,7,33,52,30,0,0,,,
3,7,34,61,45,0,0,,,
3,7,35,52,28,0,0,,,
3,7,36,22,50,0,0,,,
3,7,37,18,16,0,0,,,
3,7,38,52,33,0,0,,,
3,7,39,18,13,0,0,,,
3,7,40,18,18,0,0,,,
3,7,41,61,28,0,0,,,
3,7,42,52,36,0,0,,,
3,7,43,61,26,0,0,,,
3,7,44,18,20,0,0,,,
3,7,45,61,19,0,0,,,
3,8,1,87,30,0,0,,,
3,8,2,87,22,0,0,,,
3,8,3,87,24,0,0,,,
3,8,4,111,30,0,0,,,
3,8,5,61,36,0,1,,,
3,8,6,87,24,0,0,,,
3,8,7,85,11,0,0,,,
3,8,8,61,10,0,0,,,
3,8,9,18,13,0,0,,,
3,8,10,71,16,0,0,,,
3,8,11,111,48,0,0,,,
3,8,12,85,12,0,0,,,
3,8,13,61,15,0,0,,,
3,8,14a,71,15,0,0,,,
