Cluster ID,Plot ID,Tree ID,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m)
6,3,1,46,12.0,8.6,4.2
6,3,12,23,13.0,8.2,6.8
6,3,24,10,8.0,3.1,1.2
6,4,16,26,13.0,9.8,4.6
6,4,24,45,16.0,12.6,4.9
6,4,25,11,7.5,1.9,1.3
6,5,3,38,13.3,6.1,4.8
6,5,8,17,9.5,4.8,3.4
6,5,10,10,5.8,2.1,0.8
6,6,3,32,12.2,7.6,5.2
6,6,8,11,8.5,2.6,1.9
6,6,30,70,12.5,19.8,16.2
6,7,9,10,9.0,6.1,5.6
6,7,23,24,11.0,9.0,7.7
6,7,27,51,14.0,16.5,7.6
6,8,7,56,13.0,9.6,4.8
6,8,10,10,8.0,3.6,2.0
6,8,24,22,11.0,6.0,4.2
6,9,3,11,9.0,3.6,2.9
6,9,4,24,13.4,6.8,5.8
6,9,6b,14,8.0,3.8,0.9
6,10,2,20,11.5,6.5,6.3
6,10,4,33,11.0,7.9,5.4
6,10,5,11,7.5,4.6,3.1
7,1,2,11,6.0,3.5,1.4
7,1,11,46,16.2,11.1,8.9
7,1,24,22,11.2,5.2,3.1
7,2,1,18,10.5,7.0,5.4
7,2,2,33,11.0,12.6,11.5
7,2,3,51,13.0,17.5,10.5
7,3,8,11,8.0,4.6,2.8
7,3,17,23,12.0,8.4,5.2
7,3,19,49,15.0,8.4,6.3
7,4,3,25,10.6,6.1,3.2
7,4,5,46,14.0,17.4,8.5
7,4,9,13,5.2,3.5,2.4
7,5,8,10,7.0,3.2,1.9
7,5,11,40,13.0,13.0,11.5
7,5,18,78,13.5,22.5,18.2
7,6,9,26,10.0,6.2,4.1
7,6,16,55,16.0,13.4,10.2
7,6,17,10,6.0,4.1,2.1
7,7,15,13,8.0,1.8,1.2
7,7,19,22,12.0,5.0,3.4
7,7,24,42,14.0,8.9,8.2
7,8,6,48,12.0,16.5,14.4
7,8,18,11,6.5,4.0,3.8
7,8,19,24,11.5,7.6,7.2
7,9,1,10,8.0,3.1,2.9
7,9,7,55,14.0,10.1,7.2
7,9,12,34,10.2,4.2,3.6
7,10,13,20,13.0,9.4,6.1
7,10,17,10,8.0,6.0,4.2
7,10,22,42,16.0,10.2,8.6
8,1,12,71,13.0,17.7,14.1
8,1,25,29,9.0,11.5,8.9
8,1,28,11,6.8,3.0,2.1
8,2,47,55,17.0,16.4,8.5
8,2,54a,27,16.0,7.1,3.4
8,2,8a,11,13.0,3.2,1.2
