Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species,
5,6,2,2,7.0,5.1,2.9,2.0,22,,
5,6,3,3,8.4,3.6,4.2,3.9,38,16,
5,6,4,1,4.0,2.6,3.8,2.9,53,,
5,7,1,3,7.1,4.6,2.5,2.9,23,57,
5,7,2,4,8.5,6.8,4.4,5.5,22,51;57,
5,7,3,7,7.4,6.8,2.6,2.5,51,57;3;58;22,
5,7,4,7,5.0,3.6,1.1,0.9,3,13;71;22;46;57,
5,8,2,1,9.7,4.6,3.2,5.2,51,,
5,9,1,1,9.8,2.9,2.6,3.0,22,,
5,9,2,1,4.0,1.9,1.5,1.0,38,,
5,9,3,17,9.2,4.3,2.6,3.1,22,38;51;39,
5,9,4,24,5.0,3.0,2.6,2.1,51,38;65,
6,1,1,4,6.0,5.2,3.1,2.8,22,3;61,
6,1,2,8,4.6,5.4,2.0,1.8,51,69;22;20,
6,1,3,6,4.7,3.6,2.8,3.2,58,13;3;22;16,
6,1,4,2,7.0,3.5,3.0,2.3,20,3,
6,2,1,2,6.4,5.2,3.2,2.5,3,51,
6,2,3,1,4.1,2.9,0.8,0.7,22,,
6,2,4,7,9.0,5.8,4.8,5.1,22,38;51,
6,3,1,5,6.6,5.2,1.8,2.0,22,48,
6,3,2,1,8.0,5.5,3.2,2.0,22,,
6,3,3,3,8.0,5.6,3.4,3.3,51,22,
6,3,4,5,4.8,3.8,3.6,2.3,3,,
6,4,1,4,6.3,5.6,2.1,2.3,22,51;48;61,
6,4,2,9,7.9,4.9,4.6,4.2,22,51;48;18,
6,4,3,4,4.7,4.2,3.0,1.9,22,18,
6,4,4,4,6.0,5.4,2.3,1.9,22,25;16,
6,5,1,6,5.9,5.3,2.4,2.3,22,38;8,
6,5,2,7,8.7,6.3,4.0,3.7,22,8;51,
6,5,3,5,8.0,5.2,2.6,2.6,20,27;38;51,
6,5,4,10,5.0,5.2,3.8,2.7,22,25;8;27,
6,6,1,8,5.5,4.1,2.4,2.0,22,3;48,
6,6,2,5,5.2,5.8,4.6,3.1,22,51;48,
6,6,3,12,8.4,7.1,2.9,3.1,22,57;3;8,
6,6,4,6,6.0,5.2,3.2,2.9,8,15;48;3,
6,7,1,10,7.0,5.2,4.2,4.6,38,22;3;58,
6,7,2,5,4.2,5.0,3.4,4.0,38,3;22,
6,7,3,15,8.3,4.2,3.2,2.8,22,20;38,
6,7,4,2,5.0,3.2,5.3,6.0,28,32,
6,8,1,8,8.9,7.6,6.6,7.2,8,47;24;72,
6,8,2,2,9.0,6.2,4.8,5.6,8,,
6,8,3,1,7.0,5.9,3.3,3.0,8,,
6,9,2,9,7.0,4.6,1.9,2.0,31,58;25,
6,9,3,4,6.4,6.2,4.9,3.2,8,60;65,
6,9,4,4,5.3,7.0,5.2,3.6,9,57,
6,10,1,15,8.0,5.6,3.4,2.9,22,8;51;20,
6,10,2,9,9.0,5.8,4.1,3.6,8,20;38;22,
6,10,3,5,4.6,3.7,2.0,1.8,51,22;61,
6,10,4,8,8.0,5.6,3.2,2.7,22,27;53;16,
7,1,1,2,6.6,4.2,2.1,1.9,16,67,
7,1,2,7,6.3,4.8,1.5,1.6,61,51;16;38;67,
7,1,4,5,5.7,4.4,1.7,2.1,22,38;16,
7,2,1,9,6.6,6.3,2.8,2.1,8,46,
7,2,2,2,5.1,4.2,2.5,2.3,8,16,
7,2,3,8,7.8,4.9,3.7,3.2,22,58;16;46,
7,2,4,4,6.5,4.7,4.4,3.2,1,46;53;73,
7,3,1,2,5.6,4.1,3.3,3.2,46,8,
7,3,2,2,6.7,4.6,3.7,3.0,46,,
7,3,3,2,8.3,5.6,3.8,2.6,57,,
7,3,4,4,7.8,6.2,4.1,3.2,46,8,
7,4,1,3,4.6,4.3,5.4,4.1,8,46;1,
7,4,2,8,7.7,6.1,5.4,4.2,8,57;15,
7,4,3,4,7.8,5.9,6.1,5.0,8,47;3,
7,4,4,7,8.6,3.9,5.8,3.2,15,8;51,
7,5,1,5,7.3,5.0,4.0,3.1,22,,
7,5,2,3,5.6,3.4,3.2,2.9,53,,
7,5,3,5,5.4,4.7,1.2,1.5,22,70,
7,5,4,1,4.7,3.9,3.3,3.1,53,,
7,6,1,1,6.7,4.8,2.8,5.1,3,,
7,6,2,1,6.1,2.2,2.4,1.7,3,,
7,6,3,3,9.0,5.1,4.2,3.5,63,3,
7,6,4,8,4.6,4.3,2.2,2.1,46,8;57;63,
7,7,1,2,6.0,3.6,2.1,2.0,38,8,
7,7,2,4,7.3,4.6,3.7,3.2,46,53,
7,7,3,8,6.7,4.3,3.1,2.9,22,46;51;13,
7,7,4,1,5.9,3.2,2.0,0.9,22,,
7,8,1,2,8.8,5.2,2.1,2.0,51,22,
7,8,2,8,5.0,5.3,1.1,1.0,1,16;22;25;46;53,
7,8,3,3,5.4,5.7,2.0,2.1,48,22,
7,8,4,7,7.4,4.9,2.1,1.5,22,48,
7,9,1,6,5.8,4.7,0.9,1.0,22,8;46;57,
7,9,2,10,9.7,5.8,1.9,2.0,22,13;46,
7,9,3,2,6.1,5.4,3.7,2.9,8,16,
7,10,1,4,8.6,5.6,3.5,3.0,15,51;1,
7,10,3,5,5.4,4.9,2.7,2.0,15,25,
7,10,4,12,6.9,6.3,5.3,4.8,59,15;47,
8,1,1,10,6.6,4.6,2.1,1.7,22,20,
8,1,2,6,9.6,4.3,2.8,2.3,22,20;48,
8,1,3,17,8.1,5.7,3.7,3.5,22,48;57,
8,1,4,12,5.1,4.7,2.0,1.2,22,46;20;53,
8,2,1,4,7.7,5.6,3.8,3.0,15,57,
8,2,2,6,7.9,5.2,4.1,3.7,15,9;57,
8,2,3,4,7.8,5.6,3.1,3.5,57,74,
8,2,4,1,8.3,4.2,2.7,1.9,22,,
8,3,1,3,5.1,5.7,0.9,1.0,36,22,
8,3,2,3,4.3,4.2,4.9,3.1,8,38,
8,3,3,7,6.3,6.0,3.1,2.9,8,51;53,
8,4,1,9,8.7,5.3,2.5,2.9,22,13;63,
8,4,2,4,6.9,4.7,1.9,1.3,22,15,
8,4,3,5,6.3,5.1,3.8,2.2,46,22;3;48,
8,4,4,7,9.7,5.9,2.3,2.6,22,46,
8,5,1,6,8.6,5.7,3.3,3.8,22,20;13,
8,5,2,4,8.8,5.8,4.0,3.1,22,20;8,
8,5,3,8,8.1,6.2,5.7,4.2,51,8;25;1,
8,5,4,2,8.7,6.3,2.5,3.1,13,57,
8,6,2,5,6.8,4.6,2.8,2.3,22,51;57,
8,6,4,5,6.7,3.4,2.6,2.1,3,51;57,
8,7,1,6,6.8,5.3,1.9,3.0,22,20,
8,7,2,7,7.7,5.2,3.8,2.9,22,74;46,
8,7,3,5,8.6,5.3,3.9,3.0,22,20,
8,7,4,7,8.1,5.3,3.4,3.0,22,20;49,
8,8,1,4,5.7,4.2,2.0,1.8,22,15;20,
8,8,2,1,7.6,5.6,4.3,4.0,57,,
8,8,3,4,8.4,5.3,3.8,3.1,22,3;15,
8,8,4,8,7.3,5.8,3.0,2.8,22,57;51;20;46;74,
8,9,1,5,7.5,5.8,2.9,2.0,22,38,
8,9,2,4,5.5,4.7,3.8,3.1,58,22;51,
8,9,3,9,4.3,3.7,1.1,1.0,22,51;20,
8,9,4,3,6.1,4.8,3.8,2.4,22,70,
8,10,1,2,8.0,3.2,3.8,2.8,51,,
8,10,2,3,8.6,5.3,4.7,3.9,57,46;51,
8,10,3,2,5.3,3.9,2.8,2.5,51,,
8,10,4,4,7.6,5.9,3.7,3.0,20,32;22,
10,1,2,4,5.3,3.2,4.3,5.0,24,38;16;23;43,
10,1,4,3,9.3,3.8,3.2,2.9,38,58;61;23;16;24,
10,2,1,4,9.8,4.6,3.8,4.2,22,,
10,2,2,6,8.9,4.8,2.8,2.6,22,,
10,3,1,2,4.2,3.5,1.8,2.0,22,,
10,3,2,2,4.6,2.2,4.4,3.2,38,51;70,
10,3,3,9,6.0,3.6,3.2,3.0,38,22;51,
10,3,4,3,6.0,5.2,1.9,2.0,38,22;51,
10,4,1,3,4.0,1.8,3.0,2.3,70,22,
10,4,2,6,5.0,4.0,1.8,2.7,16,51;38;48;22,
10,4,4,7,10.0,4.1,2.4,2.6,38,22;3;51,
10,7,1,5,4.5,3.2,2.5,2.5,38,22;14;20;49,
10,7,2,1,4.0,3.5,2.0,1.7,3,22;51,
10,7,4,1,4.5,3.2,2.3,2.5,22,,
10,8,1,4,6.0,5.2,2.2,2.0,22,38,
10,8,2,2,4.2,4.2,1.5,1.3,22,,
10,8,3,4,4.7,2.9,2.7,3.2,16,51;8;28,
10,8,4,4,8.5,3.3,3.4,6.2,38,58,
11,2,1,8,5.3,3.7,2.1,1.9,22,13;3;57,
11,2,2,11,7.0,5.8,3.9,2.9,57,3;22,
11,2,3,3,5.0,3.8,2.2,2.2,22,57,
11,2,4,10,8.0,5.6,3.7,3.1,57,15,
11,3,1,2,7.8,6.2,3.9,3.3,8,51,
11,3,2,3,7.0,6.4,3.1,3.0,9,59,
11,3,3,2,4.0,3.0,1.1,1.0,22,,
11,3,4,2,7.0,6.1,1.8,1.6,57,8,
11,5,1,6,4.9,3.2,1.8,1.5,22,25;51;3,
11,5,2,7,8.0,5.4,2.1,2.2,22,,
11,5,3,7,7.9,5.6,3.9,2.5,22,3,
11,5,4,7,6.8,5.9,3.8,3.2,8,3;57,
11,6,1,5,6.3,5.6,3.5,3.4,48,22;25;57,
11,6,2,9,7.9,5.3,2.0,1.2,51,25;58,
11,6,3,10,7.0,5.2,3.2,3.0,22,57;3;25;74,
11,6,4,9,7.9,5.9,2.2,2.4,22,8;57,
11,7,1,9,8.2,6.1,4.4,3.9,8,1;20;46,
11,7,2,4,6.2,5.4,2.3,1.8,15,20;8;13;46,
11,7,3,4,4.7,5.3,3.4,3.2,8,,
11,7,4,1,6.0,6.1,4.1,3.2,8,,
11,8,1,9,9.4,6.3,3.0,2.5,8,,
11,8,3,18,6.0,5.8,1.1,1.0,22,8;46;51;13;63,
11,8,4,6,9.3,7.6,3.4,3.0,8,46,
11,10,1,7,7.6,5.8,4.2,3.6,3,8;15,
11,10,2,5,4.0,3.2,0.9,1.0,15,8;3,
11,10,3,6,6.3,5.7,3.4,2.2,8,22;20;61,
11,10,4,13,6.4,5.2,4.3,3.1,57,15;3;22;27;75,
12,1,1,12,8.9,5.7,2.8,2.3,22,,
12,1,2,8,4.7,5.2,0.9,1.0,22,49;51,
12,1,3,10,8.5,4.8,3.3,2.9,22,49;38,
12,1,4,6,8.3,6.2,4.7,4.0,51,22,
12,2,1,3,5.0,4.2,1.0,0.9,22,,
12,2,2,5,7.8,5.4,3.0,2.3,22,15,
12,2,3,3,8.0,5.4,3.9,3.4,1,61;74,
12,2,4,5,7.0,6.2,4.9,4.0,8,49;46;38,
12,3,1,11,6.4,4.9,3.0,2.9,22,38,
12,3,2,7,6.4,4.6,2.6,2.4,22,,
12,3,3,16,6.4,4.4,1.1,1.0,22,3,
12,3,4,13,8.0,5.2,3.2,2.9,22,16;44,
12,4,1,10,6.5,4.0,3.4,2.0,22,20,
12,4,2,9,8.0,4.8,3.0,2.3,22,,
12,4,3,10,9.0,4.9,3.3,3.0,22,16;19;46;74,
12,4,4,7,4.0,2.9,1.8,1.3,61,20;7;70,
12,5,1,4,8.7,5.3,2.8,2.6,22,,
12,5,2,15,6.9,4.7,0.9,0.8,22,15,
12,5,3,6,4.8,4.2,1.0,1.0,22,3;38;74,
12,5,4,8,4.6,5.3,2.2,2.3,22,,
12,6,1,4,8.0,5.6,2.0,1.5,51,8;58;76,
12,6,4,6,6.8,6.3,5.8,4.1,8,22,
12,7,1,13,8.9,5.1,3.7,4.1,22,,
12,7,2,2,8.4,4.8,3.9,2.0,22,,
12,7,3,7,8.2,5.7,2.7,2.6,22,20;57,
12,7,4,4,6.5,4.2,1.0,0.9,22,25;16;57,
12,8,1,5,5.7,6.0,2.4,1.5,22,46;57,
12,8,2,4,8.6,5.3,2.7,2.0,22,38;13,
12,8,3,2,8.4,6.2,3.9,3.0,49,,
12,8,4,1,8.4,3.0,2.7,3.0,22,,
12,9,1,5,8.0,5.9,3.9,3.1,56,32;22;15,
12,9,2,5,8.0,5.7,2.5,2.1,22,17;56;8,
12,9,3,1,8.5,5.9,3.7,3.0,48,,
12,9,4,1,6.4,3.2,2.1,1.7,22,,
12,10,1,2,8.5,5.8,2.4,2.0,20,53,
12,10,2,6,6.8,5.4,4.2,4.0,1,3;15;61,
12,10,3,2,4.8,3.8,2.3,3.0,1,22,
12,10,4,3,8.3,5.3,4.0,3.3,22,51;49,
13,2,4,1,6.5,3.4,2.7,2.5,22,,
13,4,1,6,8.6,4.2,4.4,5.2,38,5;31;27;43,
13,4,2,3,8.4,5.3,5.2,4.3,38,,
13,4,3,9,6.4,5.0,5.8,4.7,3,22;38;46;16,
13,4,4,10,9.2,5.2,6.8,6.5,38,46;5;20;43;51;65;32,
14,2,3,1,4.6,2.4,1.0,0.8,51,,
14,5,1,1,4.2,2.5,3.5,3.2,38,,
14,6,1,1,4.0,3.3,5.2,4.5,53,,
14,6,2,1,10.0,5.2,3.9,3.7,14,,
14,6,3,1,8.0,2.8,1.1,1.1,14,,
14,6,4,3,7.5,4.9,3.9,3.2,16,32,
14,7,4,1,4.3,3.2,2.0,1.7,48,,
14,9,1,5,4.6,3.5,2.7,2.1,25,3,
14,9,2,9,6.5,6.6,4.5,5.2,8,16,
14,9,3,4,4.5,3.8,2.1,1.5,25,14,
14,9,4,1,4.8,3.8,4.6,3.8,16,1,
15,4,1,2,5.7,3.0,3.4,3.0,38,,
15,4,2,8,6.0,3.2,3.3,3.1,3,38,
16,2,1,9,8.2,4.7,3.4,3.0,51,8;57,
16,2,2,5,6.4,6.3,4.4,3.5,8,16;53,
16,2,3,5,7.0,6.4,3.2,3.2,8,,
16,2,4,7,6.5,6.2,2.4,2.4,51,8;22,
16,3,1,3,7.1,8.2,6.3,6.5,8,17;51,
16,3,2,7,6.7,5.4,3.4,3.5,8,51;3,
16,3,3,4,7.7,6.6,4.8,4.0,8,17,
16,3,4,3,5.5,5.7,2.8,2.4,51,8,
16,4,1,7,5.7,5.6,3.7,2.9,8,51;48,
16,4,2,5,6.7,6.0,3.3,3.1,8,,
16,4,3,3,8.0,6.2,1.0,0.9,13,,
16,4,4,12,9.7,5.8,3.1,3.0,8,51;13;20,
16,5,1,2,7.3,5.9,2.0,1.7,10,8,
16,5,2,9,8.6,6.3,3.7,4.4,8,9;28;57,
16,5,3,5,6.8,4.8,2.9,2.7,8,9;47;57,
16,5,4,1,7.1,7.3,3.7,3.4,8,,
16,6,1,9,4.5,5.8,2.7,1.9,8,26,
16,6,2,7,7.3,6.0,3.4,2.2,3,8;15,
16,6,3,13,7.3,5.2,2.9,2.0,26,24;8,
16,6,4,12,6.3,6.0,3.5,3.0,8,,
16,7,1,4,5.0,4.2,2.7,2.3,22,20,
16,7,2,7,8.6,5.9,3.2,3.0,22,1;61,
16,7,3,10,5.3,4.7,1.1,1.0,22,13;46,
16,7,4,14,7.1,5.8,1.2,1.0,22,53;70,
16,8,1,8,4.7,5.7,0.9,1.0,8,3,
16,8,2,8,7.2,6.3,3.6,3.3,8,51;23,
16,8,3,4,8.3,6.2,3.5,3.2,8,51;3;46,
16,8,4,3,7.4,5.4,3.2,3.0,8,,
16,9,1,5,7.8,8.7,3.5,3.4,8,17,
16,9,2,8,7.6,7.0,4.2,4.0,8,17,
16,9,3,3,7.1,6.1,3.5,3.1,8,17,
16,9,4,3,6.3,6.2,4.0,3.2,8,9,
16,10,1,7,7.0,5.6,4.4,3.9,8,9;1,
16,10,2,8,8.2,6.3,3.9,3.3,8,1;51;16;45,
16,10,3,6,7.8,3.8,3.3,3.0,9,8;53,
16,10,4,4,4.6,5.9,1.7,1.5,8,,
