Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead
3,3,20,8,25.1,0,0
3,3,21,32,14.1,0,0
3,3,5a,8,21.1,0,0
3,3,5b,8,18.6,0,0
3,4,2,33,14.6,0,0
3,4,4,32,21.2,0,0
3,4,5,9,18.2,0,0
3,4,6,9,30.0,0,0
3,4,7,9,11.2,0,0
3,4,8,9,10.8,0,0
3,4,9,9,13.8,0,0
3,4,10,8,21.6,0,0
3,4,11,32,16.0,0,0
3,4,12,45,26.4,0,0
3,4,13,45,28.1,0,0
3,4,14,45,29.3,0,0
3,4,15,51,10.3,0,0
3,4,16,33,10.1,0,0
3,4,17,32,18.8,0,0
3,4,18a,32,20.3,0,0
3,4,18b,32,19.5,0,0
3,4,1a,33,11.1,0,0
3,4,1b,33,18.2,0,0
3,4,3a,22,12.8,0,0
3,4,3b,22,15.0,0,0
3,5,1,9,18.4,0,0
3,5,2,51,36.8,0,0
3,5,3,64,12.4,0,0
3,5,4,51,40.0,0,0
3,5,5,9,15.2,0,0
3,5,6,9,14.6,0,0
3,5,7,9,20.5,0,0
3,5,8,9,18.9,0,0
3,5,10,16,10.1,0,0
3,5,11,32,16.0,0,0
3,5,12,64,17.9,0,0
3,5,13,22,11.5,0,0
3,5,14,64,11.2,0,0
3,5,15,32,11.9,0,0
3,5,16,48,14.0,0,0
3,5,17,48,15.2,0,0
3,5,18,48,11.0,0,0
3,5,19,48,11.8,0,1
3,5,20,48,11.4,0,0
3,5,21,32,11.3,0,0
3,5,22,48,11.9,0,0
3,5,23,64,10.6,0,0
3,5,24,38,11.3,0,0
3,5,25,33,17.0,0,0
3,5,26,33,10.0,0,0
3,5,27,64,12.7,0,0
3,5,28,64,15.1,0,0
3,5,29,20,13.3,0,0
3,5,30,9,13.0,0,0
3,5,31,33,12.9,0,0
3,5,32,64,12.2,0,0
3,5,33a,33,16.6,0,0
3,5,33b,33,21.8,0,0
3,5,9a,9,15.4,0,0
3,5,9b,9,21.6,0,0
3,6,2,1,15.0,0,0
3,6,3,57,13.2,0,0
3,6,4,8,13.6,0,0
3,6,6,9,10.0,0,0
3,6,7,57,16.2,0,0
3,6,8,57,13.7,0,0
3,6,9,24,12.8,0,0
3,6,10,24,11.5,0,0
3,6,11,25,10.3,0,0
3,6,12,22,10.0,0,0
3,6,1a,14,11.8,0,0
3,6,1b,14,10.5,0,0
3,6,5a,8,16.1,0,0
3,6,5b,8,17.4,0,0
3,6,5c,8,11.3,0,0
3,6,5d,8,12.1,0,0
3,7,1,51,19.6,0,0
3,7,2,32,31.6,0,0
3,7,3,1,12.3,0,0
3,7,4,51,16.9,0,0
3,7,5,51,15.4,0,0
3,7,6,57,11.2,0,0
3,7,7,39,13.1,0,0
3,7,8,32,19.0,0,0
3,7,9,51,19.3,0,0
3,7,11,51,12.8,0,0
3,7,13,1,12.3,0,0
3,7,10a,32,25.8,0,0
3,7,10b,32,15.7,0,0
3,7,12a,8,23.5,0,0
3,7,12b,8,25.9,0,0
3,7,12c,8,17.5,0,0
3,7,14a,8,22.0,0,0
3,7,14b,8,15.4,0,0
3,7,14c,8,13.0,0,0
3,8,1,48,11.9,0,0
3,8,2,51,11.6,0,0
3,8,3,51,13.4,0,0
3,8,4,1,14.9,0,0
3,8,5,51,11.1,0,0
3,8,6,51,10.1,0,0
3,8,7,33,11.6,0,0
3,8,8,51,10.1,0,0
3,8,9,51,10.5,0,0
3,8,10,51,13.0,0,0
3,8,11,1,13.3,0,0
3,8,12,33,10.1,0,0
3,8,13,51,11.8,0,0
3,8,14,51,14.1,0,0
3,8,15,51,12.7,0,0
3,8,16,51,30.8,0,0
3,8,17,8,15.0,0,0
3,8,18,9,10.3,0,0
3,8,19,24,12.5,0,0
3,8,20,1,13.4,0,0
3,8,22,32,13.1,0,0
3,8,23,1,11.7,0,0
3,8,24,32,16.9,1,0
3,8,25,22,10.7,0,0
3,8,26,51,10.8,0,0
3,8,27,51,12.0,0,0
3,8,28,51,10.5,0,0
3,8,29,32,14.5,0,0
3,8,30,51,20.2,1,0
3,8,31,32,15.4,0,0
3,8,32,32,18.3,0,0
3,8,33,49,11.8,0,1
3,8,34,51,10.7,0,0
3,8,35,51,11.0,0,0
3,8,36,48,10.0,0,0
3,8,37,32,15.1,1,0
3,8,21a,1,10.8,0,0
3,8,21b,1,10.1,0,0
3,9,1,61,14.0,0,0
3,9,2,33,10.0,0,0
3,9,3,51,28.9,0,0
3,9,4,22,11.2,0,0
3,9,5,61,15.5,0,0
3,9,6,61,12.0,0,0
3,9,7,22,10.7,0,0
3,9,8,61,13.8,0,0
3,9,9,61,10.1,0,0
3,9,10,56,16.9,0,0
3,9,11,13,26.7,0,0
3,9,12,32,16.1,0,0
3,9,13,49,11.9,0,0
3,9,14,49,22.2,0,0
3,9,15,51,10.0,0,0
3,9,16,51,14.7,0,0
3,9,17,51,17.6,0,0
3,9,18,49,22.8,0,0
3,9,19,48,19.1,0,0
3,9,20,32,11.9,0,0
3,9,21,48,12.6,0,0
3,9,22,51,16.1,0,0
3,9,23,51,12.1,0,0
3,9,25,41,31.2,0,0
3,9,26,48,12.2,0,1
3,9,27,51,14.2,0,0
3,9,28,49,16.3,0,0
3,9,29,48,18.0,0,0
3,9,30,48,11.1,0,0
3,9,31,22,13.2,0,0
3,9,32,48,11.1,0,0
3,9,33,51,12.8,0,0
3,9,34,51,11.9,0,0
3,9,35,48,15.0,0,0
3,9,36,53,13.0,0,0
3,9,37,49,14.7,0,0
3,9,38,48,12.4,0,0
3,9,39,33,10.1,0,0
3,9,40,38,14.0,0,0
3,9,41,49,11.9,0,0
3,9,43,33,10.9,0,0
3,9,24a,24,17.1,0,0
3,9,24b,24,43.6,0,0
3,9,42a,13,20.2,0,0
3,9,42b,13,29.7,0,0
3,10,1,24,23.8,0,0
3,10,2,8,32.8,0,0
3,10,3,8,24.8,0,0
3,10,4,38,12.2,0,0
3,10,5,38,11.3,0,0
3,10,7,8,20.2,0,0
3,10,8,32,19.2,0,0
3,10,9,51,30.5,0,0
3,10,11,32,31.2,0,0
3,10,13,20,14.8,0,0
3,10,15,8,19.7,0,0
3,10,16,38,13.7,0,0
3,10,18,41,39.2,0,0
3,10,20,8,13.7,0,0
3,10,21,8,12.3,0,0
3,10,22,51,33.6,0,0
3,10,23,8,21.8,0,0
3,10,24,8,21.6,0,0
3,10,25,8,10.7,0,0
3,10,26,57,14.3,0,0
3,10,27,57,10.0,0,0
3,10,28,8,17.5,0,0
3,10,29,8,12.8,0,0
3,10,30,8,10.0,0,0
3,10,31,8,16.0,0,0
3,10,32,44,39.5,0,0
3,10,33,32,25.8,0,0
3,10,34,8,18.2,0,0
3,10,35,33,16.8,0,0
3,10,36,8,14.6,0,0
3,10,10a,8,12.4,0,0
3,10,10b,8,11.4,0,0
3,10,12a,57,13.6,0,0
3,10,12b,57,11.7,0,0
3,10,14a,8,21.9,0,0
3,10,14b,8,14.3,0,0
3,10,17a,8,10.8,0,0
3,10,17b,8,17.9,0,0
3,10,19a,8,21.6,0,0
3,10,19b,8,12.7,0,0
3,10,6a,8,22.2,0,0
3,10,6b,8,16.0,0,0
4,1,1,8,24.9,0,0
4,1,2,9,14.2,0,0
4,1,3,66,31.9,0,0
4,1,4,8,14.7,0,0
4,1,5,39,19.9,0,0
4,1,6,32,24.7,0,0
4,1,7,32,18.4,0,0
4,1,8,8,22.1,0,0
4,1,10,15,11.0,0,0
4,1,11,39,13.3,0,0
4,1,12,8,10.0,0,0
4,1,13,46,13.1,0,0
4,1,14,32,21.0,0,0
4,1,15,15,10.8,0,0
4,1,16,32,25.1,0,0
4,1,17,8,26.5,0,0
4,1,18,51,10.5,0,0
4,1,9a,8,12.0,0,0
4,1,9b,8,13.9,0,0
4,2,1,36,15.0,0,0
4,2,2a,51,22.4,0,0
4,2,2b,51,16.7,0,0
4,3,1,41,24.0,0,0
4,3,2,25,10.1,0,0
4,3,3,48,39.6,0,0
4,4,1,41,18.2,0,0
4,5,1,36,30.5,0,0
4,5,2,22,17.6,1,0
4,5,3,41,44.5,0,1
4,5,4,9,16.9,0,0
4,5,5,14,11.5,0,0
4,5,6,9,11.7,0,0
4,5,7,8,16.6,0,0
4,5,8,15,10.5,0,0
4,5,9,15,15.4,0,0
4,5,10,57,19.1,0,0
4,5,11,15,21.4,1,0
4,5,12,57,10.2,0,0
4,5,14,8,22.0,0,0
4,5,16,20,13.6,0,0
4,5,17,22,19.6,1,0
4,5,18,13,24.2,0,0
4,5,13a,8,23.1,1,0
4,5,13b,8,12.5,0,0
4,5,15a,16,16.0,0,0
4,5,15b,16,12.1,0,0
4,6,1,51,38.9,0,0
4,8,1,51,26.0,0,0
4,8,2,51,34.5,0,0
4,9,2,57,17.2,0,0
4,9,3,8,19.6,0,0
4,9,4,8,15.6,0,0
4,9,5,8,21.9,0,0
4,9,6,8,12.7,0,0
4,9,7,15,16.6,0,0
4,9,8,56,17.3,0,0
4,9,9,15,12.8,0,0
4,9,10,51,13.8,0,0
4,9,11,15,11.6,0,0
4,9,12,16,14.6,0,0
4,9,13,51,14.4,0,0
4,9,14,8,30.3,0,0
4,9,1a,8,23.2,0,0
4,9,1b,8,12.1,0,0
4,10,2,8,13.5,0,0
4,10,3,8,12.1,0,0
4,10,4,8,11.0,0,0
4,10,5,8,13.0,0,0
4,10,6,13,61.5,0,0
4,10,7,8,14.2,0,0
4,10,8,8,15.2,0,0
4,10,9,51,11.1,0,0
4,10,10,8,12.5,1,0
4,10,11,8,14.5,1,0
4,10,12,8,23.1,0,0
4,10,13,51,35.2,0,0
4,10,14,8,15.6,0,0
4,10,15,8,25.0,0,0
4,10,16,41,33.0,0,0
4,10,17,15,13.5,0,0
4,10,18,8,18.5,0,0
4,10,19,8,13.6,0,0
4,10,20,8,17.2,0,0
4,10,21,8,21.6,0,0
4,10,22,51,28.1,0,0
4,10,23,51,22.1,0,0
4,10,24,8,20.5,0,0
4,10,25,51,16.7,0,0
4,10,26,8,17.6,0,0
4,10,27,8,15.7,0,0
4,10,28,8,27.2,0,0
4,10,29,51,22.6,0,0
4,10,30,41,21.0,0,0
4,10,31,8,23.1,0,0
4,10,32,8,19.9,0,0
4,10,33,51,10.0,0,0
4,10,34,8,17.2,0,0
4,10,35,8,10.3,0,0
4,10,1a,51,25.5,0,0
4,10,1b,51,26.8,0,0
5,1,2,36,10.5,0,0
5,1,3,38,12.6,0,0
5,1,4,38,13.6,0,0
5,1,5,51,12.1,0,0
5,1,7,48,13.1,0,0
5,1,8,56,13.6,0,0
5,1,9,39,16.4,0,0
5,1,10,50,19.2,0,0
5,1,11a,13,14.6,0,0
5,1,11b,13,11.1,0,0
5,1,1a,51,11.4,0,0
5,1,1b,51,11.7,0,0
5,1,6a,8,15.9,0,0
5,1,6b,8,13.0,0,0
5,2,1,56,18.6,0,0
5,2,2,57,10.6,0,0
5,2,3,57,17.4,0,0
5,2,4,51,15.3,0,0
5,2,5,3,10.2,0,0
5,2,6,32,29.1,0,0
5,2,7,9,14.6,0,0
5,2,8,47,11.6,0,0
5,2,9,57,14.7,0,0
5,2,10,57,14.1,0,0
5,2,11,57,15.2,0,0
5,2,12,32,33.4,0,0
5,2,13,58,12.3,0,0
5,2,14,39,20.2,0,0
5,2,15,57,14.1,0,0
5,2,16,25,11.0,0,0
5,2,17,44,23.0,0,0
5,3,2,51,13.0,0,0
5,3,4,51,13.0,0,0
5,3,5,39,28.8,0,0
5,3,6,32,19.9,0,0
5,3,1a,51,16.3,0,0
5,3,1b,51,16.0,0,0
5,3,3a,8,22.6,0,0
5,3,3b,8,15.1,0,0
5,4,2,51,16.0,0,0
5,4,3,51,12.6,0,0
5,4,4,48,16.5,0,0
5,4,5,51,16.6,0,0
5,4,6,51,25.3,0,0
5,4,7,51,30.0,0,0
5,4,8,51,29.3,0,0
5,4,9,51,18.5,0,0
5,4,1a,51,12.4,0,0
5,4,1b,51,12.2,0,0
5,5,1,32,20.0,0,0
5,5,2,51,17.3,0,0
5,5,3,51,10.0,0,0
5,5,4,51,12.5,0,0
5,5,5,38,11.0,0,0
5,5,6,51,17.7,0,0
5,5,7,51,11.0,0,0
5,5,8,51,10.9,0,0
5,5,9,51,12.0,0,0
5,5,10,51,11.5,0,0
5,5,11,28,11.9,0,0
5,5,12,51,10.5,0,0
5,5,13,51,12.4,0,0
5,5,14,51,11.9,0,0
5,5,15,51,11.3,0,0
5,5,16,32,32.6,0,0
5,5,17,51,13.5,0,0
5,5,18,51,15.8,0,0
5,5,19,51,16.4,0,0
5,5,21,69,21.5,0,0
5,5,22,13,21.5,0,0
5,5,23,51,14.6,0,0
5,5,24,32,22.6,0,0
5,5,25,33,13.4,0,0
5,5,26,50,12.7,0,0
5,5,27,51,18.6,0,0
5,5,28,38,10.3,0,0
5,5,29,51,13.5,0,0
5,5,20a,14,19.3,0,0
5,5,20b,14,15.0,0,0
5,6,1,44,36.3,0,0
5,6,2,57,18.4,0,0
5,6,3,57,10.0,0,0
5,6,4,57,13.0,0,0
5,6,5,57,16.3,0,0
5,6,6,51,15.5,0,0
5,6,7,51,11.2,0,0
5,6,8,51,10.0,0,0
5,6,10,51,20.6,0,0
5,6,11,25,11.0,0,0
5,6,12,25,12.3,0,0
5,6,14,57,22.2,0,0
5,6,15,51,21.5,0,0
5,6,16,32,24.5,0,0
5,6,17,32,23.6,0,0
5,6,18,51,16.3,0,0
5,6,19,51,13.6,0,0
5,6,20,51,17.7,0,0
5,6,21,57,16.3,0,0
5,6,22,1,15.0,0,0
5,6,13a,13,18.5,0,0
5,6,13b,13,21.0,0,0
5,6,9a,51,16.0,0,0
5,6,9b,51,12.6,0,0
5,7,1,44,30.2,0,0
5,7,2,32,25.3,0,0
5,7,3,32,26.3,0,0
5,7,4,32,24.0,0,0
5,7,5,51,23.6,0,0
5,7,6,57,10.0,0,0
5,7,7,13,10.5,0,0
5,7,8,32,11.4,0,0
5,7,9,22,10.5,0,0
5,7,10,13,11.2,0,0
5,7,11,46,10.2,0,0
5,7,12,32,24.5,0,0
5,7,13,57,11.3,0,0
5,7,14,1,22.2,0,0
5,7,15,57,13.0,0,0
5,7,17,56,27.4,0,0
5,7,16a,8,22.0,0,0
5,7,16b,8,10.6,0,0
5,8,1,51,24.9,0,0
5,8,2,68,14.4,0,0
5,8,3,51,17.6,0,0
5,8,4,51,11.1,0,0
5,8,5,51,11.4,0,0
5,8,6,51,11.7,0,0
5,8,7,51,11.2,0,0
5,8,8,51,14.4,0,0
5,8,9,51,10.9,0,0
5,8,11,51,14.0,0,0
5,8,12,51,13.3,0,0
5,8,13,1,17.0,0,0
5,8,14,51,13.3,0,0
5,8,15,32,47.8,0,0
5,8,16,51,12.2,0,0
5,8,17,1,14.2,0,0
5,8,10a,32,19.3,0,0
5,8,10b,32,17.3,0,0
5,9,1,32,21.0,0,0
5,9,4,22,12.0,0,0
5,9,5,48,18.4,0,0
5,9,6,51,12.0,0,0
5,9,7,8,10.5,0,0
5,9,8,51,13.0,0,0
5,9,9,32,31.3,0,0
5,9,10,38,12.4,0,0
5,9,2a,51,18.0,0,0
5,9,2b,51,15.1,0,0
5,9,3a,20,24.0,0,0
5,9,3b,20,11.3,0,0
5,10,2,51,27.0,0,0
5,10,1a,51,19.5,0,0
5,10,1b,51,15.6,0,0
6,1,1,25,12.5,0,0
6,1,4,13,19.4,0,0
6,1,5,13,24.6,0,0
6,1,6,46,13.9,0,0
6,1,7,32,23.5,0,0
6,1,8,13,18.1,0,0
6,1,9,51,13.2,0,0
6,1,10,13,29.1,0,0
6,1,2a,13,15.0,0,0
6,1,2b,13,16.0,0,0
6,1,3a,8,14.4,0,0
6,1,3b,8,13.2,0,0
6,2,1,51,39.6,1,0
6,2,2,51,26.9,0,0
6,2,4,51,10.1,0,0
6,2,5,25,19.2,0,0
6,2,6,13,32.1,0,0
6,2,7,32,19.5,0,0
6,2,8,13,27.6,0,0
6,2,9,32,14.0,0,0
6,2,3a,44,34.8,0,0
6,2,3b,44,21.4,0,0
6,3,1,32,16.2,0,0
6,3,2,32,12.0,0,0
6,3,4,13,25.4,0,0
6,3,5,13,23.6,0,0
6,3,6,49,11.5,0,0
6,3,7,51,21.6,0,0
6,3,8,39,12.4,0,0
6,3,9,22,11.8,0,0
6,3,10,22,10.0,0,0
6,3,11,57,20.5,0,0
6,3,12,46,16.6,0,0
6,3,13,13,25.1,0,0
6,3,14,25,13.0,0,0
6,3,3a,48,14.2,0,0
6,3,3b,48,12.2,0,0
6,4,1,48,10.0,0,0
6,4,3,57,10.2,0,0
6,4,4,61,10.9,0,0
6,4,5,48,15.2,0,0
6,4,6,51,12.5,0,0
6,4,7,22,12.7,0,0
6,4,8,51,11.3,0,0
6,4,9,25,17.6,0,0
6,4,10,16,10.9,0,0
6,4,11,32,21.1,0,0
6,4,2a,51,10.1,0,0
6,4,2b,51,10.6,0,0
6,5,1,13,31.6,0,0
6,5,2,8,10.4,0,0
6,5,3,13,24.7,0,0
6,5,4,8,12.2,0,0
6,5,5,8,12.4,0,0
6,5,6,8,10.5,0,0
6,5,7,8,10.3,0,0
6,5,8,13,23.3,0,0
6,5,9,13,13.5,0,0
6,6,1,46,10.8,0,0
6,6,2,22,10.2,1,0
6,6,3,15,14.4,0,0
6,6,4,15,22.4,0,0
6,6,5,13,18.0,0,0
6,6,6,57,17.0,0,0
6,6,7,13,21.6,0,0
6,6,8,8,17.0,0,0
6,6,10,22,11.7,0,0
6,6,11,15,16.4,0,0
6,6,12,13,34.2,1,0
6,6,13,13,21.6,0,0
6,6,14,46,12.3,0,0
6,6,15,22,11.7,0,0
6,6,16,48,12.6,0,0
6,6,17,15,11.3,0,0
6,6,9a,8,13.0,0,0
6,6,9b,8,13.4,0,0
6,7,2,51,10.6,0,0
6,7,3,9,16.9,0,0
6,7,4,9,11.2,0,0
6,7,5,32,28.6,0,0
