Cluster ID,Plot ID,Subplot,Count,DBH (cm)
2,7,1,1,8.2
4,1,1,1,4.0
4,1,3,1,5.0
4,10,4,1,5.5
5,1,4,1,8.0
6,8,3,1,6.0
7,1,2,1,9.2
7,2,4,1,6.6
7,4,3,1,7.9
7,4,4,1,5.4
8,8,2,1,7.5
10,3,3,1,6.0
10,8,1,1,8.5
14,6,4,1,9.0
16,2,4,1,9.4
16,6,3,1,6.4
